Date,Open,High,Low,Close,Volume,OpenInt
1976-11-09,0.48995,0.49373,0.48622,0.48995,6738171,0
1976-11-10,0.48622,0.48622,0.48231,0.48622,3678404,0
1976-11-11,0.48622,0.48995,0.48622,0.48995,1722164,0
1976-11-12,0.48995,0.48995,0.48622,0.48995,5567780,0
1976-11-15,0.48995,0.49373,0.48622,0.49373,4414091,0
1976-11-16,0.49373,0.5015,0.49373,0.5015,2558161,0
1976-11-17,0.5015,0.5015,0.49743,0.49743,2240483,0
1976-11-18,0.49743,0.5168,0.49743,0.513,2875845,0
1976-11-19,0.5168,0.5283,0.5168,0.5283,10901457,0
1976-11-22,0.5283,0.5436,0.5283,0.5359,7423693,0
1976-11-23,0.5359,0.5359,0.532,0.532,3427601,0
1976-11-24,0.532,0.5512,0.5283,0.5512,4263606,0
1976-11-26,0.555,0.5702,0.555,0.5702,4681609,0
1976-11-29,0.5666,0.5666,0.555,0.5589,4464250,0
1976-11-30,0.5589,0.5589,0.5512,0.555,3160086,0
1976-12-01,0.555,0.5625,0.555,0.5589,3795445,0
1976-12-02,0.5589,0.5625,0.5512,0.5512,2591605,0
1976-12-03,0.5512,0.555,0.5283,0.5283,7005695,0
1976-12-06,0.532,0.5397,0.532,0.5359,4029532,0
1976-12-07,0.5359,0.5359,0.5283,0.5283,1956245,0
1976-12-08,0.5283,0.5283,0.513,0.5244,8543936,0
1976-12-09,0.5244,0.5283,0.5244,0.5283,3678404,0
1976-12-10,0.5283,0.532,0.5283,0.532,3427601,0
1976-12-13,0.5283,0.5283,0.5244,0.5283,2541446,0
1976-12-14,0.5283,0.5283,0.5244,0.5244,5283530,0
1976-12-15,0.5244,0.5244,0.5168,0.5207,9480261,0
1976-12-16,0.5168,0.5168,0.5091,0.5091,4129845,0
1976-12-17,0.5091,0.513,0.5053,0.5053,3109925,0
1976-12-20,0.5053,0.5053,0.49743,0.49743,8443617,0
1976-12-21,0.49743,0.49743,0.49373,0.49743,8828181,0
1976-12-22,0.5015,0.5091,0.5015,0.5015,5233383,0
1976-12-23,0.5015,0.5053,0.49743,0.49743,6738171,0
1976-12-27,0.49743,0.513,0.49373,0.5091,5701532,0
1976-12-28,0.5091,0.513,0.5053,0.5091,6771613,0
1976-12-29,0.5091,0.5091,0.5053,0.5091,5066170,0
1976-12-30,0.5091,0.5168,0.5091,0.513,4180005,0
1976-12-31,0.5168,0.5244,0.5168,0.5207,2591605,0
1977-01-03,0.5168,0.5244,0.5168,0.5168,2474567,0
1977-01-04,0.5168,0.5168,0.49373,0.49743,2541446,0
1977-01-05,0.49743,0.5053,0.49743,0.5015,3210243,0
1977-01-06,0.5015,0.5053,0.5015,0.5015,5149770,0
1977-01-07,0.49743,0.49743,0.48995,0.49743,3160086,0
1977-01-10,0.49373,0.49373,0.49373,0.49373,3477766,0
1977-01-11,0.48995,0.48995,0.47855,0.47855,7206327,0
1977-01-12,0.47855,0.47855,0.47456,0.47855,9162578,0
1977-01-13,0.47855,0.48622,0.47456,0.48622,7607613,0
1977-01-14,0.48622,0.48622,0.48622,0.48622,6320177,0
1977-01-17,0.48622,0.48995,0.48231,0.48231,2006406,0
1977-01-18,0.48231,0.48622,0.46319,0.46699,6403769,0
1977-01-19,0.46699,0.47456,0.46699,0.47456,2775520,0
1977-01-20,0.47456,0.47855,0.47081,0.47456,7942013,0
1977-01-21,0.47456,0.48995,0.47456,0.48231,3611522,0
1977-01-24,0.48231,0.48622,0.47855,0.47855,2006406,0
1977-01-25,0.47855,0.47855,0.47456,0.47456,6587692,0
1977-01-26,0.47456,0.47456,0.47081,0.47456,3996088,0
1977-01-27,0.47081,0.47081,0.46699,0.46699,7707937,0
1977-01-28,0.46699,0.46699,0.45549,0.45549,4263606,0
1977-01-31,0.45549,0.4593,0.45168,0.4593,3862325,0
1977-02-01,0.4593,0.46699,0.4593,0.46319,5166488,0
1977-02-02,0.46319,0.46319,0.44788,0.44788,3728567,0
1977-02-03,0.44405,0.44405,0.42868,0.43629,5233383,0
1977-02-04,0.44021,0.44788,0.44021,0.44405,3996088,0
1977-02-07,0.44405,0.44788,0.43629,0.43629,2240483,0
1977-02-08,0.43629,0.44021,0.42868,0.43254,3895771,0
1977-02-09,0.43254,0.43629,0.42496,0.42496,3762005,0
1977-02-10,0.42496,0.42868,0.40963,0.40963,7189618,0
1977-02-11,0.4133,0.42496,0.4133,0.42106,6186409,0
1977-02-14,0.42106,0.42868,0.41729,0.42868,2959451,0
1977-02-15,0.42868,0.44788,0.42496,0.44405,5768413,0
1977-02-16,0.44788,0.45549,0.44788,0.44788,5651367,0
1977-02-17,0.44788,0.45168,0.43254,0.43254,7189618,0
1977-02-18,0.43254,0.44405,0.43254,0.43629,4129845,0
1977-02-22,0.43629,0.44405,0.43629,0.44021,6738171,0
1977-02-23,0.44021,0.44405,0.43254,0.43629,4129845,0
1977-02-24,0.43254,0.43254,0.42106,0.42106,4079683,0
1977-02-25,0.42106,0.42496,0.42106,0.42496,2691929,0
1977-02-28,0.42496,0.43254,0.42496,0.43254,3076491,0
1977-03-01,0.43629,0.44021,0.43629,0.44021,9981857,0
1977-03-02,0.43629,0.43629,0.42868,0.42868,3310562,0
1977-03-03,0.42868,0.43254,0.42868,0.42868,3845607,0
1977-03-04,0.42868,0.43254,0.42868,0.43254,3895771,0
1977-03-07,0.43254,0.43254,0.42496,0.42868,3561369,0
1977-03-08,0.42868,0.43254,0.42868,0.42868,4046245,0
1977-03-09,0.42868,0.42868,0.42868,0.42868,1906084,0
1977-03-10,0.42868,0.44405,0.42496,0.44021,5902169,0
1977-03-11,0.44021,0.44405,0.43254,0.44021,5250094,0
1977-03-14,0.44405,0.45168,0.44405,0.45168,5166488,0
1977-03-15,0.45549,0.4593,0.45549,0.45549,10483464,0
1977-03-16,0.45549,0.4593,0.45168,0.45168,3812165,0
1977-03-17,0.45168,0.46319,0.45168,0.46319,6353606,0
1977-03-18,0.46319,0.46319,0.4593,0.4593,3494492,0
1977-03-21,0.4593,0.4593,0.45168,0.45549,1772326,0
1977-03-22,0.45549,0.45549,0.44788,0.45549,8309857,0
1977-03-23,0.45549,0.46319,0.45168,0.45549,12506588,0
1977-03-24,0.45549,0.45549,0.44788,0.44788,7473855,0
1977-03-25,0.44788,0.45168,0.44788,0.45168,1454645,0
1977-03-28,0.45168,0.45549,0.45168,0.45168,8677697,0
1977-03-29,0.45549,0.46319,0.45549,0.45549,6370335,0
1977-03-30,0.45549,0.45549,0.44788,0.44788,2825691,0
1977-03-31,0.44788,0.44788,0.44021,0.44021,4547849,0
1977-04-01,0.44021,0.44788,0.44021,0.44788,4280330,0
1977-04-04,0.44788,0.44788,0.43629,0.43629,4029532,0
1977-04-05,0.43629,0.44021,0.43629,0.43629,3845607,0
1977-04-06,0.43629,0.43629,0.42868,0.43254,4129845,0
1977-04-07,0.43254,0.43629,0.43254,0.43254,2825691,0
1977-04-11,0.43254,0.44021,0.43254,0.43254,2926003,0
1977-04-12,0.43629,0.44021,0.43629,0.43629,6420495,0
1977-04-13,0.43629,0.44021,0.43629,0.44021,4547849,0
1977-04-14,0.44788,0.45549,0.44788,0.44788,7791535,0
1977-04-15,0.44788,0.45549,0.44788,0.44788,7992179,0
1977-04-18,0.44788,0.44788,0.44021,0.44021,6537536,0
1977-04-19,0.44021,0.44021,0.43629,0.43629,2775520,0
1977-04-20,0.43629,0.44405,0.43629,0.43629,2658490,0
1977-04-21,0.43629,0.44405,0.42868,0.43254,3444327,0
1977-04-22,0.43254,0.43254,0.42496,0.42496,6688017,0
1977-04-25,0.42496,0.42496,0.4133,0.4133,7323377,0
1977-04-26,0.4133,0.4133,0.40963,0.40963,3862325,0
1977-04-27,0.40963,0.42106,0.40571,0.4133,5383851,0
1977-04-28,0.4133,0.4133,0.40963,0.4133,5651367,0
1977-04-29,0.4133,0.4133,0.40963,0.4133,5617931,0
1977-05-02,0.4133,0.42106,0.4133,0.42106,4313769,0
1977-05-03,0.42106,0.43254,0.42106,0.42868,4681609,0
1977-05-04,0.42868,0.43629,0.42496,0.43254,4464250,0
1977-05-05,0.43254,0.44021,0.43254,0.43629,4096412,0
1977-05-06,0.43254,0.43254,0.42868,0.42868,3628251,0
1977-05-09,0.42868,0.42868,0.42868,0.42868,1621839,0
1977-05-10,0.42868,0.43629,0.42868,0.43254,4213447,0
1977-05-11,0.43254,0.44021,0.43254,0.43254,5283530,0
1977-05-12,0.43254,0.43629,0.42868,0.43629,4497691,0
1977-05-13,0.43629,0.44405,0.43629,0.44405,3260409,0
1977-05-16,0.44405,0.45168,0.44405,0.44788,5333687,0
1977-05-17,0.44788,0.45549,0.44405,0.45168,6771613,0
1977-05-18,0.45549,0.46319,0.45549,0.46319,10633941,0
1977-05-19,0.46319,0.47081,0.4593,0.46699,8778017,0
1977-05-20,0.46699,0.46699,0.4593,0.46699,8577380,0
1977-05-23,0.46699,0.46699,0.4593,0.4593,5116335,0
1977-05-24,0.4593,0.4593,0.45549,0.45549,4748491,0
1977-05-25,0.45549,0.45549,0.44405,0.44405,10450022,0
1977-05-26,0.44405,0.44405,0.44021,0.44021,5383851,0
1977-05-27,0.44021,0.44405,0.43629,0.43629,10416581,0
1977-05-31,0.43629,0.44405,0.43254,0.44021,7139457,0
1977-06-01,0.44021,0.44788,0.44021,0.44405,3578088,0
1977-06-02,0.44405,0.44405,0.44021,0.44021,3160086,0
1977-06-03,0.44405,0.45549,0.44405,0.45168,4865536,0
1977-06-06,0.45168,0.45549,0.45168,0.45168,2273929,0
